#  %C   command line and arguments
#  %c   involuntary context switches
#  %E   elapsed real time (wall clock) in [hour:]min:sec
#  %e   elapsed real time (wall clock) in seconds
#  %F   major page faults
#  %M   maximum resident set size in KB
#  %P   percent of CPU this job got
#  %R   minor page faults
#  %S   system (kernel) time in seconds
#  %U   user time in seconds
#  %w   voluntary context switches
#  %x   exit status of command
# %C ; %c ; %E ; %e ; %F ; %M ; %P ; %R ; %R ; %S ; %U ; %w ; %x
cyclonedx-py poetry -o /dev/null tests/_data/infiles/poetry/with-urls/lock20 ; 13 ; 0:01.27 ; 1.27 ; 0 ; 34464 ; 99% ; 6694 ; 6694 ; 0.14 ; 1.13 ; 1 ; 0
cyclonedx-py requirements --pyproject tests/_data/infiles/requirements/pyproject.toml -o /dev/null tests/_data/infiles/requirements/frozen.txt ; 7 ; 0:01.52 ; 1.52 ; 0 ; 36492 ; 100% ; 7217 ; 7217 ; 0.11 ; 1.41 ; 1 ; 0
cyclonedx-py requirements --pyproject tests/_data/infiles/requirements/pyproject.toml -o /dev/null tests/_data/infiles/requirements/local.txt ; 22 ; 0:01.48 ; 1.48 ; 0 ; 36220 ; 99% ; 7215 ; 7215 ; 0.14 ; 1.33 ; 1 ; 0
cyclonedx-py requirements --pyproject tests/_data/infiles/requirements/pyproject.toml -o /dev/null tests/_data/infiles/requirements/nested.txt ; 65 ; 0:01.51 ; 1.51 ; 0 ; 36304 ; 99% ; 7213 ; 7213 ; 0.11 ; 1.38 ; 0 ; 0
cyclonedx-py requirements --pyproject tests/_data/infiles/requirements/pyproject.toml -o /dev/null tests/_data/infiles/requirements/private-packages.txt ; 53 ; 0:01.38 ; 1.38 ; 0 ; 36324 ; 99% ; 7214 ; 7214 ; 0.12 ; 1.25 ; 1 ; 0
cyclonedx-py requirements --pyproject tests/_data/infiles/requirements/pyproject.toml -o /dev/null tests/_data/infiles/requirements/with-comments.txt ; 11 ; 0:01.49 ; 1.49 ; 0 ; 36476 ; 99% ; 7217 ; 7217 ; 0.09 ; 1.40 ; 1 ; 0
cyclonedx-py requirements --pyproject tests/_data/infiles/requirements/pyproject.toml -o /dev/null tests/_data/infiles/requirements/with-extras.txt ; 10 ; 0:01.34 ; 1.34 ; 0 ; 36420 ; 99% ; 7217 ; 7217 ; 0.11 ; 1.22 ; 1 ; 0
cyclonedx-py requirements --pyproject tests/_data/infiles/requirements/pyproject.toml -o /dev/null tests/_data/infiles/requirements/with-hashes.txt ; 54 ; 0:01.43 ; 1.43 ; 0 ; 36620 ; 99% ; 7220 ; 7220 ; 0.10 ; 1.32 ; 1 ; 0
cyclonedx-py requirements --pyproject tests/_data/infiles/requirements/pyproject.toml -o /dev/null tests/_data/infiles/requirements/without-pinned-versions.txt ; 14 ; 0:01.55 ; 1.55 ; 0 ; 36356 ; 99% ; 7213 ; 7213 ; 0.11 ; 1.43 ; 1 ; 0
cyclonedx-py requirements --pyproject tests/_data/infiles/requirements/pyproject.toml -o /dev/null tests/_data/infiles/requirements/with-urls.txt ; 36 ; 0:01.44 ; 1.44 ; 0 ; 36464 ; 99% ; 7217 ; 7217 ; 0.08 ; 1.35 ; 1 ; 0
cyclonedx-py environment -o /dev/null --pyproject tests/_data/infiles/environment/editable-self/pyproject.toml tests/_data/infiles/environment/editable-self/.venv ; 70 ; 0:01.44 ; 1.44 ; 0 ; 35372 ; 99% ; 8280 ; 8280 ; 0.09 ; 1.34 ; 4 ; 0
