#  %C   command line and arguments
#  %c   involuntary context switches
#  %E   elapsed real time (wall clock) in [hour:]min:sec
#  %e   elapsed real time (wall clock) in seconds
#  %F   major page faults
#  %M   maximum resident set size in KB
#  %P   percent of CPU this job got
#  %R   minor page faults
#  %S   system (kernel) time in seconds
#  %U   user time in seconds
#  %w   voluntary context switches
#  %x   exit status of command
# %C ; %c ; %E ; %e ; %F ; %M ; %P ; %R ; %R ; %S ; %U ; %w ; %x
cyclonedx-py requirements --pyproject tests/_data/infiles/requirements/pyproject.toml -o /dev/null tests/_data/infiles/requirements/with-extras.txt ; 77 ; 0:01.50 ; 1.50 ; 0 ; 39244 ; 99% ; 7899 ; 7899 ; 0.14 ; 1.35 ; 1 ; 0
cyclonedx-py requirements --pyproject tests/_data/infiles/requirements/pyproject.toml -o /dev/null tests/_data/infiles/requirements/with-hashes.txt ; 81 ; 0:01.60 ; 1.60 ; 0 ; 39280 ; 99% ; 7905 ; 7905 ; 0.11 ; 1.48 ; 0 ; 0
cyclonedx-py requirements --pyproject tests/_data/infiles/requirements/pyproject.toml -o /dev/null tests/_data/infiles/requirements/without-pinned-versions.txt ; 43 ; 0:01.49 ; 1.49 ; 0 ; 38980 ; 99% ; 7897 ; 7897 ; 0.11 ; 1.37 ; 1 ; 0
cyclonedx-py requirements --pyproject tests/_data/infiles/requirements/pyproject.toml -o /dev/null tests/_data/infiles/requirements/with-urls.txt ; 25 ; 0:01.43 ; 1.43 ; 0 ; 39104 ; 99% ; 7902 ; 7902 ; 0.11 ; 1.31 ; 1 ; 0
cyclonedx-py environment -o /dev/null --pyproject tests/_data/infiles/environment/editable-self/pyproject.toml tests/_data/infiles/environment/editable-self/.venv ; 69 ; 0:01.62 ; 1.62 ; 0 ; 38180 ; 99% ; 9012 ; 9012 ; 0.13 ; 1.48 ; 5 ; 0
cyclonedx-py environment -o /dev/null --pyproject tests/_data/infiles/environment/local/pyproject.toml tests/_data/infiles/environment/local/.venv ; 1128 ; 0:02.82 ; 2.82 ; 0 ; 38208 ; 65% ; 8802 ; 8802 ; 0.18 ; 1.65 ; 7 ; 0
cyclonedx-py environment -o /dev/null --pyproject tests/_data/infiles/environment/no-deps/pyproject.toml tests/_data/infiles/environment/no-deps/.venv ; 510 ; 0:01.60 ; 1.60 ; 0 ; 39112 ; 93% ; 9000 ; 9000 ; 0.14 ; 1.35 ; 6 ; 0
cyclonedx-py environment -o /dev/null --pyproject tests/_data/infiles/environment/via-pipenv/pyproject.toml tests/_data/infiles/environment/via-pipenv/.venv ; 44 ; 0:01.47 ; 1.47 ; 0 ; 39268 ; 94% ; 9025 ; 9025 ; 0.11 ; 1.27 ; 5 ; 0
cyclonedx-py environment -o /dev/null --pyproject tests/_data/infiles/environment/via-poetry/pyproject.toml tests/_data/infiles/environment/via-poetry/.venv ; 24 ; 0:01.26 ; 1.26 ; 0 ; 39264 ; 99% ; 9024 ; 9024 ; 0.10 ; 1.15 ; 5 ; 0
cyclonedx-py environment -o /dev/null --pyproject tests/_data/infiles/environment/with-extras/pyproject.toml tests/_data/infiles/environment/with-extras/.venv ; 45 ; 0:01.65 ; 1.65 ; 0 ; 39440 ; 99% ; 9034 ; 9034 ; 0.15 ; 1.50 ; 5 ; 0
cyclonedx-py environment -o /dev/null --pyproject tests/_data/infiles/environment/with-urls/pyproject.toml tests/_data/infiles/environment/with-urls/.venv ; 13 ; 0:01.18 ; 1.18 ; 0 ; 38336 ; 100% ; 8793 ; 8793 ; 0.09 ; 1.08 ; 5 ; 0
cyclonedx-py pipenv -o /dev/null --pyproject tests/_data/infiles/pipenv/category-deps/pyproject.toml tests/_data/infiles/pipenv/category-deps ; 25 ; 0:01.07 ; 1.07 ; 0 ; 38480 ; 99% ; 7698 ; 7698 ; 0.08 ; 0.98 ; 1 ; 0
cyclonedx-py pipenv -o /dev/null --pyproject tests/_data/infiles/pipenv/default-and-dev/pyproject.toml tests/_data/infiles/pipenv/default-and-dev ; 18 ; 0:01.19 ; 1.19 ; 0 ; 38436 ; 99% ; 7696 ; 7696 ; 0.07 ; 1.12 ; 1 ; 0
cyclonedx-py pipenv -o /dev/null --pyproject tests/_data/infiles/pipenv/editable-self/pyproject.toml tests/_data/infiles/pipenv/editable-self ; 15 ; 0:01.21 ; 1.21 ; 0 ; 38480 ; 99% ; 7695 ; 7695 ; 0.11 ; 1.10 ; 1 ; 0
cyclonedx-py pipenv -o /dev/null --pyproject tests/_data/infiles/pipenv/local/pyproject.toml tests/_data/infiles/pipenv/local ; 40 ; 0:01.20 ; 1.20 ; 0 ; 38380 ; 99% ; 7693 ; 7693 ; 0.14 ; 1.05 ; 1 ; 0
cyclonedx-py pipenv -o /dev/null --pyproject tests/_data/infiles/pipenv/no-deps/pyproject.toml tests/_data/infiles/pipenv/no-deps ; 34 ; 0:01.22 ; 1.22 ; 0 ; 39288 ; 99% ; 7896 ; 7896 ; 0.10 ; 1.11 ; 1 ; 0
